Dataset	MUSCLE	TCOFFEE	MUSCLE wins	TCOFFEE wins	Draw
ASTA-1.90	966	968	0	1	0
ASTA+1.90	860	834	1	0	0
ASTA-1.95	968	969	0	1	0
ASTA+1.95	859	846	1	0	0
ASTA-1.99	964	970	0	1	0
ASTA+1.99	852	851	1	0	0
ASTA-2.90	962	968	0	1	0
ASTA-2.95	945	969	0	1	0
ASTA-2.99	957	970	0	1	0
ASTA+4.90	975	977	0	1	0
ASTA+4.95	977	979	0	1	0
ASTA+4.99	978	979	0	1	0
ASTA_SOA1.90	939	937	1	0	0
ASTA_SOA1.95	940	947	0	1	0
ASTA_SOA1.99	937	933	1	0	0
SOA1-1.90	982	974	1	0	0
SOA1+1.90	985	974	1	0	0
SOA1-1.95	983	974	1	0	0
SOA1+1.95	984	980	1	0	0
SOA1-1.99	983	987	0	1	0
SOA1+1.99	982	980	1	0	0
SOA1-2.90	884	907	0	1	0
SOA1+2.90	951	962	0	1	0
SOA1-2.95	903	920	0	1	0
SOA1+2.95	951	968	0	1	0
SOA1-2.99	928	937	0	1	0
SOA1+2.99	948	963	0	1	0
			10	17	0
